close,high,low,open,volume,baseVolume,datetime
19270.42000000,19270.53000000,19251.19000000,19251.20000000,39.71879800,765121.88135872,2020-12-06 20:52:00
19261.32000000,19280.78000000,19261.32000000,19270.42000000,33.08867600,637764.22302195,2020-12-06 20:53:00
19288.27000000,19291.83000000,19261.33000000,19261.33000000,71.76650500,1383868.94775897,2020-12-06 20:54:00
19272.68000000,19291.32000000,19272.00000000,19288.27000000,29.13852600,561869.30989718,2020-12-06 20:55:00
19297.00000000,19297.00000000,19272.00000000,19272.68000000,17.99328500,347017.24512691,2020-12-06 20:56:00
19289.39000000,19299.00000000,19289.39000000,19296.99000000,19.31476700,372704.43253699,2020-12-06 20:57:00
19288.75000000,19298.59000000,19286.68000000,19289.40000000,15.83734700,305546.26754314,2020-12-06 20:58:00
19293.08000000,19298.05000000,19288.74000000,19288.75000000,15.55228300,300067.02069466,2020-12-06 20:59:00
19301.56000000,19307.49000000,19293.08000000,19293.09000000,40.12952200,774593.06703652,2020-12-06 21:00:00
19297.28000000,19306.35000000,19295.86000000,19302.36000000,27.25468800,526064.66999010,2020-12-06 21:01:00
19289.52000000,19299.21000000,19289.51000000,19297.28000000,17.00247500,328058.07987704,2020-12-06 21:02:00
19284.00000000,19294.97000000,19281.01000000,19289.52000000,10.22923400,197286.51261616,2020-12-06 21:03:00
19298.64000000,19301.39000000,19279.50000000,19284.10000000,17.67481500,341000.39368621,2020-12-06 21:04:00
19284.14000000,19301.19000000,19283.96000000,19298.64000000,17.35381900,334773.99276394,2020-12-06 21:05:00
19288.99000000,19293.50000000,19282.35000000,19284.57000000,12.39787800,239129.95803296,2020-12-06 21:06:00
19292.62000000,19294.88000000,19281.80000000,19289.00000000,9.96412900,192196.49504878,2020-12-06 21:07:00
19272.83000000,19292.62000000,19270.02000000,19292.61000000,21.74403600,419248.31022275,2020-12-06 21:08:00
19288.22000000,19295.00000000,19272.82000000,19272.83000000,56.74789300,1094533.42612595,2020-12-06 21:09:00
